	nse	cobertura_salud	alcance_cobertura_salud	fuente_ingresos	prestaciones_estatales	origen_ingreso_principal	solicitud_ayuda_pandemia	atencion_salud_dificultades_pre_pandemia	atencion_salud_dificultades_pre_pandemia_detalle	covid_positivo_dificultades	atencion_salud_acceso_informacion_origen	informacion_medidas_educativas_origen
59	Alto	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Posponer intervenciones quirúrgicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos	NA
60	Medio alto	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios)	NA
61	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Posponer intervenciones quirúrgicas	NA	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
62	Medio alto	PAMI, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	NA	Jubilación / pensión	Ninguno	Dificultades para que los médicos /as entiendan sus dolencias	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios)	NA
63	Medio alto	Obra social por trabajo o sindicato	Atención médica básica	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
64	Alto	Obra social por trabajo o sindicato	Atención médica básica	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de los propios servicios de salud	NA
65	Medio alto	PAMI, Obra social por trabajo o sindicato	Ns / Nc	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Parroquia, Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
66	Alto	PAMI, PROFE	Atención médica básica	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
67	Medio alto	No tiene cobertura	Ns / Nc	Trabajo, Programa estatal	Ninguna de las anteriores	Empresa o negocio propio, Plan o programa estatal	Ayuda de familiares o amigos	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios)
68	Bajo	Obra social por trabajo o sindicato, No tiene cobertura	Ns / Nc	Trabajo, Programa estatal	Asignación Universal por Hijo, Otras	Trabajo formal	Comedor o merendero barrial	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Dificultades para entender el diagnóstico realizado por los médicos	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas
69	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal, Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
70	Bajo	No tiene cobertura	NA	Trabajo, Jubilación / Pensión	Asignación Universal por Hijo, Otras	Jubilación / pensión	En la escuela	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
71	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
72	Medio alto	No tiene cobertura	NA	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo informal (en negro)	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
73	Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de familiares/amigos/vecinos	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
74	Medio alto	No tiene cobertura	NA	Otra fuente	Ninguna de las anteriores	Cobro de alquileres o renta, Plan o programa estatal	Ninguno	Vivir lejos de los centros de atención médica	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
75	Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Eventual (por changas)	Ayuda de familiares o amigos, En la escuela	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos
76	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Posponer intervenciones quirúrgicas, Otras	Acceder a información sobre síntomas/cuidados/prevención frente al COVID19, Acceder al testeo en caso de tener síntomas, Acceder al seguimiento de los servicios médicos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
77	Medio alto	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Dificultades económicas para afrontar los gastos en salud.	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	A través de redes sociales	NA
78	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
79	Alto	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Ns / Nc	Trabajo, Jubilación / Pensión	Salario Social Complementario	Trabajo formal	En la escuela	No conocer cómo solicitar turnos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios), A través de redes sociales
80	Medio Bajo	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención odontológica, Atención en salud mental, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Vivir lejos de los centros de atención médica, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Posponer intervenciones quirúrgicas	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
